,Principal Component 1,Principal Component 2,principal component 3,principal component 4,principal component 5,principal component 6,target,labels,Occupation_category1,Occupation_category,Total,White,entropy,Black
20,1.1055971759698173,-0.5643793165627993,0.1277471977728705,-0.14668241780129523,0.15745364428607178,0.02309657156275866,Lodging managers,2,Management occupations,Management occupations,116,87115.99999999999,1.2916486759694354,11948.000000000002
21,-2.460974567491497,-0.02068737941631663,0.2792347257534889,-0.07396780410581372,-0.3469864512026632,-0.026274577484428758,Medical and health services managers,0,Management occupations,Management occupations,791,601951.0,1.246277165678602,111531.0
22,-2.305114745718843,0.16545931959377005,0.3242473813488889,0.1457843467440166,-0.23487982686489267,-0.03578638391036094,"Property, real estate, and community association managers",0,Management occupations,Management occupations,780,648960.0,1.174607163696965,80340.00000000001
23,-1.2983285705252974,0.09457224487791333,0.014866207237069134,-0.2839845645658106,-0.24451444646748827,-0.017934280881429163,Social and community service managers,1,Management occupations,Management occupations,391,291686.0,1.279204968263263,69989.0
24,-5.823176573810126,0.38622731899964186,0.5824189462388685,0.4156464032877558,-0.2879454654421539,0.0011314672868733555,"Managers, all other",0,Management occupations,Management occupations,"5,235",4297934.999999999,1.1969212096620032,450210.0
25,0.4574155389446481,-0.1297294439841964,-0.1964357245343827,0.07745412281598446,0.10371872073593502,-0.0068457067455795426,"Wholesale and retail buyers, except farm products",1,Business and financial operations occupations,Business and financial operations occupations,159,130857.0,1.2354931617502558,14946.000000000002
26,-0.12918772146077281,-0.16410187507061705,-0.030468696962887426,0.037732516232349446,-0.03354739464317548,-0.016959733001058658,"Purchasing agents, except wholesale, retail, and farm products",1,Business and financial operations occupations,Business and financial operations occupations,223,180630.0,1.2278367497114786,22969.0
27,-1.0451875018855008,0.034389161451631775,-0.1523521332062476,-0.2310824656820031,-0.18351893543275608,-0.006321682273684852,"Claims adjusters, appraisers, examiners, and investigators",1,Business and financial operations occupations,Business and financial operations occupations,330,245520.00000000003,1.2989222535082843,55110.0
28,-0.7706137452982014,-0.02553145275156852,-0.22588948693900696,-0.10666113444132723,-0.2121719146431474,-0.012158902854465163,Compliance officers,1,Business and financial operations occupations,Business and financial operations occupations,291,221742.0,1.2747647345356377,41904.00000000001
29,1.2753168329992162,-0.3956061471414447,-0.12305189415492081,0.6838053798001238,0.14453958904915362,0.02399392621973854,Cost estimators,2,Business and financial operations occupations,Business and financial operations occupations,127,111633.0,1.1146639632413995,4825.999999999999
30,-2.7096157449063827,0.07365831241486116,0.18453862545661726,-0.043963913665833874,-0.26020445862126446,-0.012326267187899068,Human resources workers,0,Business and financial operations occupations,Business and financial operations occupations,871,667185.9999999999,1.2629920845030647,120198.0
31,1.9581558049296564,-0.474192505779651,-0.11414757800509287,-0.5536619627211316,-0.12540225064418364,-0.014529161524705451,"Compensation, benefits, and job analysis specialists",2,Business and financial operations occupations,Business and financial operations occupations,67,47302.0,1.3087283606622453,13132.0
32,0.3579265865519919,-0.18567411229384467,-0.2051827666399201,-0.13266821629550882,-0.2799242788809431,-0.0386949712894583,Training and development specialists,1,Business and financial operations occupations,Business and financial operations occupations,166,128484.0,1.2368318057001009,23406.0
33,1.0277547369233933,-0.2623948920978192,0.34722537748530397,-0.2531686769972507,-0.1928798716566921,-0.06558582173376064,Logisticians,2,Business and financial operations occupations,Business and financial operations occupations,132,105996.0,1.1843998025395437,17688.0
34,-2.1212711208556523,-0.23721134020249393,0.4754433886548381,0.2820105838335684,-0.3092342307972869,-0.028537482108176186,Project management specialists,0,Business and financial operations occupations,Business and financial operations occupations,769,618276.0000000001,1.1728634984124118,61520.0
35,-2.5814712982486507,-0.24941204762585942,0.5212482441608114,0.3088615009125364,-0.388669781008072,-0.030186729378864588,Management analysts,0,Business and financial operations occupations,Business and financial operations occupations,"1,001",792792.0,1.1752159696989914,80080.0
36,1.3660059201511376,-0.3729950459470565,-0.0702759838217487,0.1251948739483786,-0.5221324081356642,-0.11070816070158725,"Meeting, convention, and event planners",2,Business and financial operations occupations,Business and financial operations occupations,116,96744.0,1.1118520352695276,11484.0
37,2.800015282004574,-0.6604352218328351,1.6735486470248235,0.2798343760911405,0.006587419383378574,-0.06766445929779828,Fundraisers,2,Business and financial operations occupations,Business and financial operations occupations,93,82770.0,1.006350576208436,3441.0
38,-0.8875664819688261,-0.37175440210834076,0.19132499094385866,0.6182653106948975,0.08364408404788334,0.043140162494322065,Market research analysts and marketing specialists,1,Business and financial operations occupations,Business and financial operations occupations,400,332400.0,1.172094011228506,17600.000000000004
39,-1.9699162241417718,-0.1660549271132813,0.07739112629719103,-0.05055612861536563,-0.30621167575026687,-0.006359630973636749,"Business operations specialists, all other",0,Business and financial operations occupations,Business and financial operations occupations,584,432744.0,1.2771018585465175,78840.0
40,-3.6437117072777556,-0.08328058505701376,0.5608471182831605,0.17142750541437204,-0.27602658532386043,0.0063233725260741745,Accountants and auditors,0,Business and financial operations occupations,Business and financial operations occupations,"1,630",1243690.0,1.2371426807095327,159740.00000000003
